PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
540,1,1,female,22,0,2,49.5,B39,C
541,1,1,female,36,0,2,71,B22,S
545,0,1,male,50,1,0,106.425,C86,C
551,1,1,male,17,0,2,110.8833,C70,C
557,1,1,female,48,1,0,39.6,A16,C
559,1,1,female,39,1,1,79.65,E67,S
572,1,1,female,53,2,0,51.4792,C101,S
573,1,1,male,36,0,0,26.3875,E25,S
578,1,1,female,39,1,0,55.9,E44,S
582,1,1,female,39,1,1,110.8833,C68,C
584,0,1,male,36,0,0,40.125,A10,C
586,1,1,female,18,0,2,79.65,E68,S
588,1,1,male,60,1,1,79.2,B41,C
592,1,1,female,52,1,0,78.2667,D20,C
600,1,1,male,49,1,0,56.9292,A20,C
610,1,1,female,40,0,0,153.4625,C125,S
619,1,2,female,4,2,1,39,F4,S
622,1,1,male,42,1,0,52.5542,D19,S
626,0,1,male,61,0,0,32.3208,D50,S
628,1,1,female,21,0,0,77.9583,D9,S
631,1,1,male,80,0,0,30,A23,S
633,1,1,male,32,0,0,30.5,B50,C
642,1,1,female,24,0,0,69.3,B35,C
646,1,1,male,48,1,0,76.7292,D33,C
648,1,1,male,56,0,0,35.5,A26,C
660,0,1,male,58,0,2,113.275,D48,C
663,0,1,male,47,0,0,25.5875,E58,S
670,1,1,female,24,1,0,52,C126,S
672,0,1,male,31,1,0,52,B71,S
676,0,3,male,18,0,0,7.775,B53,S
680,1,1,male,36,0,1,512.3292,B51 ,C
682,1,1,male,27,0,0,76.7292,D49,C
684,0,3,male,14,5,2,46.9,B55,S
690,1,1,female,15,0,1,211.3375,B5,S
691,1,1,male,31,1,0,57,B20,S
699,0,1,male,49,1,1,110.8833,C68,C
700,0,3,male,42,0,0,7.65,G63,S
701,1,1,female,18,1,0,227.525,C62,C
702,1,1,male,35,0,0,26.2875,E24,S
707,1,2,female,45,0,0,13.5,C64,S
708,1,1,male,42,0,0,26.2875,E24,S
711,1,1,female,24,0,0,49.5042,C90,C
712,0,1,male,31,0,0,26.55,C124,S
713,1,1,male,48,1,0,52,C126,S
716,0,3,male,19,0,0,7.65,F G73,S
717,1,1,female,38,0,0,227.525,C45,C
718,1,2,female,27,0,0,10.5,E101,S
725,1,1,male,27,1,0,53.1,E8,S
731,1,1,female,29,0,0,211.3375,B5,S
738,1,1,male,35,0,0,512.3292,B101,C
741,1,1,male,40,0,0,30,D45,S
742,0,1,male,36,1,0,78.85,C46,S
743,1,1,female,21,2,2,262.375,B57,C
746,0,1,male,70,1,1,71,B22,S
749,0,1,male,19,1,0,53.1,D30,S
751,1,2,female,4,1,1,23,B59,S
752,1,3,male,6,0,1,12.475,E121,S
755,1,2,female,48,1,2,65,B63,S
760,1,1,female,33,0,0,86.5,B77,S
764,1,1,female,36,1,2,120,B96,S
766,1,1,female,51,1,0,77.9583,D11,S
768,0,3,female,30.5,0,0,7.75, B66,Q
773,0,2,female,57,0,0,10.5,E77,S
775,1,2,female,54,1,3,23,B98,S
777,0,3,male,10,0,0,7.75,F38,Q
780,1,1,female,43,0,1,211.3375,B3,S
782,1,1,female,17,1,0,57,B20,S
783,0,1,male,29,0,0,30,D6,S
790,0,1,male,46,0,0,79.2,B82 ,C
794,0,1,male,16,0,0,30.6958,B84,C
797,1,1,female,49,0,0,25.9292,D17,S
803,1,1,male,11,1,2,120,B96,S
805,1,3,male,27,0,0,6.975,B98,S
807,0,1,male,39,0,0,0,A36,S
810,1,1,female,33,1,0,53.1,E8,S
816,0,1,male,30.5,0,0,8.05,B102,S
821,1,1,female,52,1,1,93.5,B69,S
824,1,3,female,27,0,1,12.475,E121,S
830,1,1,female,62,0,0,80,B28,C
836,1,1,female,39,1,1,83.1583,E49,C
840,1,1,male,20,0,0,29.7,C47,C
850,1,1,female,33,1,0,89.1042,C92,C
854,1,1,female,16,0,1,39.4,D28,S
858,1,1,male,51,0,0,26.55,E17,S
863,1,1,female,48,0,0,25.9292,D17,S
868,0,1,male,31,0,0,50.4958,A24,S
872,1,1,female,47,1,1,52.5542,D35,S
873,0,1,male,33,0,0,5,B51 ,S
874,0,3,male,47,0,0,9,B53,S
877,0,3,male,20,0,0,9.8458,B55,S
880,1,1,female,56,0,1,83.1583,C50,C
888,1,1,female,19,0,0,30,B42,S
890,1,1,male,26,0,0,30,C148,C
